#map file, mape a note and a channel to a relay, multiple items can be mapped to the same relay,
#note channel relay
#
# Level 10
21 0 1 
22 0 16 
23 0 2 
24 0 15
25 0 3 
26 0 14
27 0 4 
28 0 13
29 0 5 
30 0 12
31 0 6 
32 0 11
33 0 7  
34 0 10
35 0 8 
36 0 9 
#level 20
37 0 17
38 0 44 
39 0 18
40 0 43
41 0 19
42 0 42
43 0 20
44 0 41
45 0 21
46 0 40
47 0 22 
48 0 39 
49 0 23
50 0 38
51 0 24
52 0 37
53 0 25
54 0 36
55 0 26
56 0 35
57 0 27
58 0 34
59 0 28
60 0 33
61 0 29
62 0 32
63 0 30
64 0 31
#level 30
65 0 45
66 0 64
67 0 46
68 0 63
68 0 47
70 0 62
71 0 48
72 0 61
73 0 49
74 0 60
75 0 50
76 0 59
77 0 51
78 0 58
79 0 52
80 0 57
81 0 53
82 0 56
83 0 54
84 0 55
#level 40
85 0 65
86 0 68
87 0 66
88 0 67
89 0 69
90 0 88 
91 0 70  
92 0 87 
93 0 71 
94 0 86 
95 0 72 
96 0 85  
97 0 73   
97 0 84  
99 0 74  
100 0 83  
101 0 75  
102 0 82  
103 0 76  
104 0 81  
105 0 77 
106 0 80
107 0 78
108 0 79
#relay 92 start pilots
#
#map file, mape a note and a channel to a relay, multiple items can be mapped to the same relay,
#note channel relay
22 3 1
23 3 2
24 3 3
25 3 4 
26 3 5
27 3 6
28 3 29
29 3 30
30 3 31
31 3 32
32 3 33
33 3 34
34 3 35
35 3 36
36 3 37
37 3 38
38 3 39
39 3 40
40 3 41
41 3 42
42 3 43
43 3 44
44 3 45
45 3 46
46 3 47
47 3 48
48 3 49
49 3 50 
50 3 51 
51 3 52
52 3 53
53 3 54
54 3 55
55 3 56
56 3 57
57 3 58
58 3 59
59 3 60
60 3 61
61 3 62
62 3 63
63 3 64
64 3 65
65 3 66
66 3 67
67 3 68
68 3 69
69 3 70
70 3 71
71 3 72
72 3 73
73 3 74
74 3 75
75 3 76
76 3 77
77 3 78
78 3 79
79 3 80
80 3 81
81 3 82
82 3 83
83 3 84
84 3 85
85 3 86
86 3 87
87 3 88
88 3 89
89 3 90
90 3 91
#91 3 92
#92 3 93
#93 3 94
#94 3 95
#95 3 96
#96 3 97
#97 3 98
#98 3 99
#99 3 100
#100 3 101
#101 3 102
#102 3 103
#103 3 104
#104 3 105
#105 3 106
#106 3 107
#107 3 108
#108 3 109
#109 3 110
#110 3 111
#111 3 112
#112 3 113
113 3 114
114 3 115
115 3 116
116 3 117
117 3 118
118 3 119
119 3 120
120 3 121
121 3 122
122 3 123
123 3 124
124 3 125
125 3 126
126 3 127
127 3 128

